iter	Passed	Remaining
0	2	2344
1	5	2712
2	8	2766
3	10	2665
4	13	2780
5	17	2861
6	21	3113
7	25	3158
8	29	3288
9	33	3303
10	36	3266
11	39	3234
12	43	3267
13	46	3298
14	51	3393
15	55	3422
16	60	3483
17	64	3497
18	68	3513
19	71	3510
20	75	3520
21	78	3495
22	81	3471
23	84	3442
24	87	3429
25	92	3461
26	95	3457
27	99	3442
28	102	3436
29	105	3424
30	109	3428
31	112	3413
32	115	3396
33	120	3413
34	123	3401
35	126	3384
36	129	3363
37	134	3405
38	137	3398
39	141	3388
40	145	3397
41	149	3401
42	152	3393
43	155	3381
44	159	3392
45	163	3390
46	166	3380
47	169	3366
48	174	3382
49	178	3397
50	183	3411
51	186	3398
52	190	3395
53	195	3419
54	199	3425
55	203	3430
56	207	3435
57	211	3431
58	213	3400
59	214	3360
60	216	3326
61	217	3292
62	219	3262
63	221	3243
64	223	3219
65	225	3192
66	227	3169
67	228	3131
68	229	3101
69	231	3074
70	232	3046
71	234	3019
72	236	2997
73	237	2977
74	239	2952
75	240	2929
76	242	2906
77	244	2886
78	245	2863
79	247	2843
80	248	2818
81	249	2798
82	252	2784
83	253	2767
84	254	2741
85	256	2721
86	257	2698
87	259	2689
88	261	2672
89	262	2654
90	264	2641
91	266	2631
92	268	2619
93	270	2607
94	271	2590
95	273	2576
96	275	2561
97	276	2547
98	278	2535
99	279	2519
100	282	2511
101	283	2491
102	284	2479
103	285	2462
104	287	2450
105	289	2437
106	290	2422
107	291	2409
108	293	2400
109	295	2394
110	297	2384
111	299	2377
112	301	2367
113	303	2357
114	305	2348
115	306	2335
116	308	2324
117	310	2319
118	311	2306
119	313	2297
120	314	2287
121	316	2278
122	317	2263
123	318	2252
124	320	2241
125	321	2231
126	323	2222
127	324	2209
128	326	2207
129	330	2208
130	331	2200
131	333	2194
132	335	2186
133	337	2180
134	338	2171
135	341	2170
136	343	2163
137	344	2153
138	346	2143
139	347	2135
140	349	2128
141	350	2120
142	352	2111
143	354	2105
144	356	2100
145	358	2095
146	372	2161
147	375	2159
148	377	2158
149	385	2185
150	391	2201
151	395	2204
152	396	2193
153	398	2187
154	399	2178
155	401	2172
156	403	2165
157	404	2157
158	406	2148
159	408	2142
160	410	2137
161	411	2130
162	413	2124
163	417	2126
164	419	2121
165	422	2124
166	425	2122
167	427	2114
168	429	2111
169	431	2106
170	433	2101
171	435	2096
172	437	2090
173	439	2084
174	440	2077
175	442	2070
176	443	2062
177	445	2056
178	448	2057
179	450	2050
180	451	2042
181	452	2035
182	454	2030
183	456	2023
184	458	2017
185	462	2022
186	464	2017
187	466	2012
188	467	2006
189	469	1999
190	470	1994
191	472	1988
192	474	1985
193	477	1985
194	479	1979
195	481	1973
196	482	1967
197	484	1961
198	485	1955
199	487	1951
200	491	1953
201	493	1949
202	497	1952
203	499	1950
204	502	1947
205	503	1940
206	505	1936
207	507	1931
208	509	1928
209	511	1923
210	513	1918
211	514	1913
212	516	1909
213	518	1904
214	521	1903
215	523	1899
216	525	1895
217	526	1889
218	528	1884
219	530	1879
220	531	1875
221	534	1871
222	535	1866
223	537	1861
224	539	1857
225	540	1851
226	542	1847
227	543	1841
228	545	1837
229	549	1838
230	550	1833
231	552	1828
232	553	1823
233	556	1820
234	557	1814
235	558	1809
236	560	1803
237	562	1800
238	564	1796
239	565	1791
240	567	1786
241	568	1781
242	570	1776
243	571	1771
244	573	1766
245	574	1762
246	577	1759
247	579	1755
248	580	1751
249	582	1746
250	583	1741
251	585	1738
252	587	1734
253	588	1729
254	590	1725
255	592	1721
256	594	1720
257	596	1715
258	598	1711
259	599	1706
260	601	1702
261	603	1698
262	604	1694
263	606	1690
264	608	1688
265	610	1684
266	612	1681
267	614	1678
268	616	1675
269	617	1670
270	619	1666
271	621	1663
272	623	1659
273	624	1654
274	625	1650
275	627	1646
276	629	1642
277	630	1638
278	632	1635
279	634	1632
280	636	1628
281	639	1628
282	641	1624
283	642	1620
284	644	1616
285	645	1612
286	647	1608
287	649	1605
288	650	1600
289	651	1595
290	653	1592
291	654	1587
292	656	1583
293	657	1580
294	659	1576
295	661	1574
296	663	1571
297	666	1569
298	667	1566
299	669	1562
300	671	1559
301	673	1555
302	674	1550
303	675	1546
304	676	1542
305	678	1537
306	679	1533
307	680	1528
308	681	1524
309	682	1519
310	684	1515
311	685	1511
312	686	1507
313	688	1503
314	689	1499
315	690	1495
316	692	1491
317	693	1486
318	694	1482
319	695	1478
320	696	1473
321	698	1470
322	700	1467
323	701	1463
324	703	1460
325	704	1456
326	706	1453
327	707	1450
328	709	1446
329	710	1443
330	712	1440
331	713	1436
332	714	1431
333	716	1428
334	718	1425
335	719	1422
336	720	1418
337	722	1414
338	723	1410
339	724	1406
340	726	1404
341	728	1401
342	730	1399
343	732	1396
344	733	1393
345	735	1390
346	737	1386
347	738	1382
348	739	1378
349	740	1374
350	741	1371
351	743	1369
352	744	1365
353	746	1361
354	747	1357
355	748	1353
356	749	1349
357	750	1346
358	751	1342
359	753	1339
360	755	1337
361	758	1337
362	761	1337
363	764	1335
364	766	1333
365	768	1330
366	769	1328
367	786	1351
368	791	1354
369	795	1355
370	799	1355
371	805	1359
372	810	1362
373	814	1363
374	818	1363
375	824	1368
376	827	1368
377	831	1368
378	835	1368
379	839	1369
380	842	1368
381	845	1368
382	848	1366
383	851	1366
384	855	1366
385	859	1366
386	864	1369
387	869	1371
388	873	1371
389	877	1373
390	882	1374
391	887	1376
392	891	1377
393	900	1384
394	902	1381
395	904	1379
396	905	1376
397	907	1373
398	910	1371
399	912	1368
400	913	1364
401	914	1360
402	915	1356
403	917	1354
404	919	1350
405	920	1346
406	921	1342
407	923	1339
408	925	1337
409	927	1335
410	930	1333
411	931	1330
412	933	1326
413	934	1322
414	936	1320
415	938	1316
416	940	1314
417	941	1311
418	943	1308
419	945	1305
420	946	1301
421	948	1298
422	949	1294
423	950	1291
424	951	1287
425	953	1284
426	955	1281
427	956	1278
428	957	1275
429	959	1271
430	960	1268
431	961	1264
432	963	1261
433	964	1257
434	965	1253
435	966	1250
436	968	1248
437	971	1245
438	972	1242
439	974	1239
440	975	1236
441	976	1232
442	977	1229
443	978	1225
444	980	1222
445	981	1218
446	983	1216
447	985	1214
448	987	1211
449	988	1208
450	990	1205
451	991	1202
452	992	1198
453	993	1195
454	995	1191
